index,Bowl,Date,Notes,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
939,Rose Bowl,1/1/2015,"Pasadena, CA",59,20,Oregon,Florida State,1,1,1,1,1,1
940,Citrus Bowl,1/1/2015,"Orlando, FL",33,17,Missouri,Minnesota,1,1,1,1,1,1
941,Cotton Bowl,1/1/2015,"Arlington, TX",42,41,Michigan State,Baylor,1,1,1,1,1,1
942,Outback Bowl,1/1/2015,"Tampa, FL",34,31,Wisconsin,Auburn,1,1,1,1,1,1
943,Orange Bowl,12/31/2014,"Miami Gardens, FL",49,34,Georgia Tech,Mississippi State,1,1,1,1,1,1
944,Fiesta Bowl,12/31/2014,"Glendale, AZ",38,30,Boise State,Arizona,1,1,1,1,1,1
945,Peach Bowl,12/31/2014,"Atlanta, GA",42,3,Texas Christian,Mississippi,1,1,1,1,1,1
946,Foster Farms Bowl,12/30/2014,"Santa Clara, CA",45,21,Stanford,Maryland,1,1,1,1,1,1
947,Belk Bowl,12/30/2014,"Charlotte, NC",37,14,Georgia,Louisville,1,1,1,1,1,1
948,Music City Bowl,12/30/2014,"Nashville, TN",31,28,Notre Dame,Louisiana State,1,1,1,1,1,1
949,Texas Bowl,12/29/2014,"Houston, TX",31,7,Arkansas,Texas,1,1,1,1,1,1
950,Russell Athletic Bowl,12/29/2014,"Orlando, FL",40,6,Clemson,Oklahoma,1,1,1,1,1,1
951,Liberty Bowl,12/29/2014,"Memphis, TN",45,37,Texas A&M,West Virginia,1,1,1,1,1,1
952,Holiday Bowl,12/27/2014,"San Diego, CA",45,42,Southern California,Nebraska,1,1,1,1,1,1
953,Pinstripe Bowl,12/27/2014,"Bronx, New York",31,30,Penn State,Boston College,1,1,1,1,1,1
954,Independence Bowl,12/27/2014,"Shreveport, LA",24,21,South Carolina,Miami (FL),1,1,1,1,1,1
955,Sun Bowl,12/27/2014,"El Paso, TX",36,31,Arizona State,Duke,1,1,1,1,1,1
956,Military Bowl,12/27/2014,"Annapolis, MD",33,17,Virginia Tech,Cincinnati,1,1,1,1,1,1
957,St. Petersburg Bowl,12/26/2014,"St. Petersburg, FL",34,27,North Carolina State,Central Florida,1,1,1,1,1,1
958,Quick Lane Bowl,12/26/2014,"Detroit, MI",40,21,Rutgers,North Carolina,1,1,1,1,1,1
959,Heart of Dallas Bowl,12/26/2014,"Dallas, TX",35,18,Louisiana Tech,Illinois,1,1,1,1,1,1
960,Hawaii Bowl,12/24/2014,"Honolulu, HI",30,6,Rice,Fresno State,1,1,1,1,1,1
961,Bahamas Bowl,12/24/2014,"Nassau, Bahamas",49,48,Western Kentucky,Central Michigan,1,1,1,1,1,1
962,Poinsettia Bowl,12/23/2014,"San Diego, CA",17,16,Navy,San Diego State,1,1,1,1,1,1
963,Boca Raton Bowl,12/23/2014,"Boca Raton, FL",52,23,Marshall,Northern Illinois,1,1,1,1,1,1
964,Miami Beach Bowl,12/22/2014,"Miami, FL",55,48,Memphis,Brigham Young,1,1,1,1,1,1
965,Camellia Bowl,12/20/2014,"Montgomery, AL",33,28,Bowling Green State,South Alabama,1,1,1,1,1,1
966,Famous Idaho Potato Bowl,12/20/2014,"Boise, ID",38,24,Air Force,Western Michigan,1,1,1,1,1,1
967,Las Vegas Bowl,12/20/2014,"Las Vegas, NV",45,10,Utah,Colorado State,1,1,1,1,1,1
968,New Mexico Bowl,12/20/2014,"Albuquerque, NM",21,6,Utah State,Texas-El Paso,1,1,1,1,1,1
969,New Orleans Bowl,12/20/2014,"New Orleans, LA",16,3,Louisiana,Nevada,1,1,1,1,1,1
970,College Football Championship,1/11/2016,"Glendale, AZ",45,40,Alabama (2),Clemson (1),1,1,1,1,1,1
971,Cactus Bowl,1/2/2016,"Tempe, AZ",43,42,West Virginia,Arizona State,1,1,1,1,1,1
972,Alamo Bowl,1/2/2016,"San Antonio, TX",47,41,Texas Christian (11),Oregon (15),1,1,1,1,1,1
973,Liberty Bowl,1/2/2016,"Memphis, TN",45,23,Arkansas,Kansas State,1,1,1,1,1,1
974,TaxSlayer Bowl,1/2/2016,"Jacksonville, FL",24,17,Georgia,Penn State,1,1,1,1,1,1
975,Sugar Bowl,1/1/2016,"New Orleans, LA",48,20,Mississippi (16),Oklahoma State (13),1,1,1,1,1,1
976,Rose Bowl,1/1/2016,"Pasadena, CA",45,16,Stanford (5),Iowa (6),1,1,1,1,1,1
977,Citrus Bowl,1/1/2016,"Orlando, FL",41,7,Michigan (17),Florida (19),1,1,1,1,1,1
978,Fiesta Bowl,1/1/2016,"Glendale, AZ",44,28,Ohio State (7),Notre Dame (8),1,1,1,1,1,1
979,Outback Bowl,1/1/2016,"Tampa, FL",45,6,Tennessee,Northwestern (12),1,1,1,1,1,1
980,Cotton Bowl,12/31/2015,"Arlington, TX",38,0,Alabama (2),Michigan State (3),1,1,1,1,1,1
981,Orange Bowl,12/31/2015,"Miami Gardens, FL",37,17,Clemson (1),Oklahoma (4),1,1,1,1,1,1
982,Peach Bowl,12/31/2015,"Atlanta, GA",38,24,Houston (14),Florida State (9),1,1,1,1,1,1
983,Holiday Bowl,12/30/2015,"San Diego, CA",23,21,Wisconsin (23),Southern California,1,1,1,1,1,1
984,Music City Bowl,12/30/2015,"Nashville, TN",27,21,Louisville,Texas A&M,1,1,1,1,1,1
985,Belk Bowl,12/30/2015,"Charlotte, NC",51,28,Mississippi State,North Carolina State,1,1,1,1,1,1
986,Birmingham Bowl,12/30/2015,"Birmingham, AL",31,10,Auburn,Memphis,1,1,1,1,1,1
987,Texas Bowl,12/29/2015,"Houston, TX",56,27,Louisiana State (22),Texas Tech,1,1,1,1,1,1
988,Arizona Bowl,12/29/2015,"Tuscon, AZ",28,23,Nevada,Colorado State,1,1,1,1,1,1
989,Russell Athletic Bowl,12/29/2015,"Orlando, FL",49,38,Baylor (18),North Carolina (10),1,1,1,1,1,1
990,Armed Forces Bowl,12/29/2015,"Fort Worth, TX",55,36,California,Air Force,1,1,1,1,1,1
991,Quick Lane Bowl,12/28/2015,"Detroit, MI",21,14,Minnesota,Central Michigan,1,1,1,1,1,1
992,Military Bowl,12/28/2015,"Annapolis, MD",44,28,Navy (21),Pittsburgh,1,1,1,1,1,1
993,Foster Farms Bowl,12/26/2015,"Santa Clara, CA",37,29,Nebraska,UCLA,1,1,1,1,1,1
994,Independence Bowl,12/26/2015,"Shreveport, LA",55,52,Virginia Tech,Tulsa,1,1,1,1,1,1
995,Pinstripe Bowl,12/26/2015,"Bronx, New York",44,41,Duke,Indiana,1,1,1,1,1,1
996,Heart of Dallas Bowl,12/26/2015,"Dallas, TX",44,31,Washington,Southern Mississippi,1,1,1,1,1,1
997,Sun Bowl,12/26/2015,"El Paso, TX",20,14,Washington State,Miami (FL),1,1,1,1,1,1
998,St. Petersburg Bowl,12/26/2015,"St. Petersburg, FL",16,10,Marshall,Connecticut,1,1,1,1,1,1
999,Hawaii Bowl,12/24/2015,"Honolulu, HI",42,7,San Diego State,Cincinnati,1,1,1,1,1,1
1000,Bahamas Bowl,12/24/2015,"Nassau, Bahamas",45,31,Western Michigan,Middle Tennessee State,1,1,1,1,1,1
1001,GoDaddy Bowl,12/23/2015,"Mobile, AL",58,27,Georgia Southern,Bowling Green State,1,1,1,1,1,1
1002,Poinsettia Bowl,12/23/2015,"San Diego, CA",55,7,Boise State,Northern Illinois,1,1,1,1,1,1
1003,Boca Raton Bowl,12/22/2015,"Boca Raton, FL",32,17,Toledo,Temple (24),1,1,1,1,1,1
1004,Famous Idaho Potato Bowl,12/22/2015,"Boise, ID",23,21,Akron,Utah State,1,1,1,1,1,1
1005,Miami Beach Bowl,12/21/2015,"Miami, FL",45,35,Western Kentucky (25),South Florida,1,1,1,1,1,1
1006,New Orleans Bowl,12/19/2015,"New Orleans, LA",47,28,Louisiana Tech,Arkansas State,1,1,1,1,1,1
1007,AutoNation Cure Bowl,12/19/2015,"Orlando, FL",27,16,San Jose State,Georgia State,1,1,1,1,1,1
1008,Camellia Bowl,12/19/2015,"Montgomery, AL",31,29,Appalachian State,Ohio,1,1,1,1,1,1
1009,Las Vegas Bowl,12/19/2015,"Las Vegas, NV",35,28,Utah (20),Brigham Young,1,1,1,1,1,1
1010,New Mexico Bowl,12/19/2015,"Albuquerque, NM",45,37,Arizona,New Mexico,1,1,1,1,1,1
1011,College Football Championship,1/9/2017,"Raymond James Stadium - Tampa, Florida",35,31,Clemson (3),Alabama (1),1,1,1,1,1,1
1012,Sugar Bowl,1/2/2017,"Mercedes-Benz Superdome - New Orleans, Louisiana",35,19,Oklahoma (7),Auburn (17),1,1,1,1,1,1
1013,Rose Bowl,1/2/2017,"Pasadena, CA",52,49,Southern California (9),Penn State (5),1,1,1,1,1,1
1014,Cotton Bowl,1/2/2017,"AT&T Stadium - Arlington, Texas",24,16,Wisconsin (8),Western Michigan (12),1,1,1,1,1,1
1015,Outback Bowl,1/2/2017,"Raymond James Stadium - Tampa, Florida",30,3,Florida (20),Iowa (21),1,1,1,1,1,1
1016,Fiesta Bowl,12/31/2016,"University of Phoenix Stadium - Glendale, Arizona",31,0,Clemson (3),Ohio State (2),1,1,1,1,1,1
1017,Peach Bowl,12/31/2016,"Georgia Dome - Atlanta, Georgia",24,7,Alabama (1),Washington (4),1,1,1,1,1,1
1018,Citrus Bowl,12/31/2016,"Camping World Stadium - Orlando, Florida",29,9,Louisiana State (19),Louisville (15),1,1,1,1,1,1
1019,TaxSlayer Bowl,12/31/2016,"EverBank Field - Jacksonville, Florida",33,18,Georgia Tech,Kentucky,1,1,1,1,1,1
1020,Orange Bowl,12/30/2016,"Hard Rock Stadium - Miami Gardens, Florida",33,32,Florida State (10),Michigan (6),1,1,1,1,1,1
1021,Arizona Bowl,12/30/2016,"Arizona Stadium - Tucson, Arizona",45,21,Air Force,South Alabama,1,1,1,1,1,1
1022,Music City Bowl,12/30/2016,"Nissan Stadium - Nashville, Tennessee",38,24,Tennessee,Nebraska (24),1,1,1,1,1,1
1023,Sun Bowl,12/30/2016,"Sun Bowl Stadium - El Paso, Texas",25,23,Stanford (16),North Carolina,1,1,1,1,1,1
1024,Liberty Bowl,12/30/2016,"Liberty Bowl Memorial Stadium - Memphis, Tennessee",31,23,Georgia,Texas Christian,1,1,1,1,1,1
1025,Alamo Bowl,12/29/2016,"Alamodome - San Antonio, Texas",38,8,Oklahoma State (13),Colorado (11),1,1,1,1,1,1
1026,Belk Bowl,12/29/2016,"Bank of America Stadium - Charlotte, North Carolina",35,24,Virginia Tech (18),Arkansas,1,1,1,1,1,1
1027,Birmingham Bowl,12/29/2016,"Legion Field - Birmingham, Alabama",46,39,South Florida (25),South Carolina,1,1,1,1,1,1
1028,Texas Bowl,12/28/2016,"NRG Stadium - Houston, Texas",33,28,Kansas State,Texas A&M,1,1,1,1,1,1
1029,Foster Farms Bowl,12/28/2016,"Levi's Stadium - Santa Clara, California",26,24,Utah,Indiana,1,1,1,1,1,1
1030,Russell Athletic Bowl,12/28/2016,"Camping World Stadium - Orlando, Florida",31,14,Miami (FL),West Virginia (14),1,1,1,1,1,1
1031,Pinstripe Bowl,12/28/2016,"Yankee Stadium - Bronx, New York",31,24,Northwestern,Pittsburgh (22),1,1,1,1,1,1
1032,Cactus Bowl,12/27/2016,"Chase Field - Phoenix, Arizona",31,12,Baylor,Boise State,1,1,1,1,1,1
1033,Holiday Bowl,12/27/2016,"Qualcomm Stadium - San Diego, California",17,12,Minnesota,Washington State,1,1,1,1,1,1
1034,Military Bowl,12/27/2016,"Navy Marine Corps Memorial Stadium - Annapolis, Maryland",34,26,Wake Forest,Temple (23),1,1,1,1,1,1
1035,Heart of Dallas Bowl,12/27/2016,"Dallas, TX",38,31,Army,North Texas,1,1,1,1,1,1
1036,Independence Bowl,12/26/2016,"Independence Stadium - Shreveport, Louisiana",41,17,North Carolina State,Vanderbilt,1,1,1,1,1,1
1037,Quick Lane Bowl,12/26/2016,"Ford Field - Detroit, Michigan",36,30,Boston College,Maryland,1,1,1,1,1,1
1038,St. Petersburg Bowl,12/26/2016,"Tropicana Field - St. Petersburg, Florida",17,16,Mississippi State,Miami (OH),1,1,1,1,1,1
1039,Hawaii Bowl,12/24/2016,"Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu, Hawaii",52,35,Hawaii,Middle Tennessee State,1,1,1,1,1,1
1040,Dollar General Bowl,12/23/2016,"Ladd-Peebles Stadium - Mobile, Alabama",28,23,Troy,Ohio,1,1,1,1,1,1
1041,Armed Forces Bowl,12/23/2016,"Amon G. Carter Stadium - Fort Worth, Texas",48,45,Louisiana Tech,Navy,1,1,1,1,1,1
1042,Bahamas Bowl,12/23/2016,"Thomas A. Robinson Stadium - Nassau, Bahamas",24,20,Old Dominion,Eastern Michigan,1,1,1,1,1,1
1043,Famous Idaho Potato Bowl,12/22/2016,"Albertsons Stadium - Boise, Idaho",61,50,Idaho,Colorado State,1,1,1,1,1,1
1044,Poinsettia Bowl,12/21/2016,"Qualcomm Stadium - San Diego, California",24,21,Brigham Young,Wyoming,1,1,1,1,1,1
1045,Boca Raton Bowl,12/20/2016,"FAU Football Stadium - Boca Raton, Florida",51,31,Western Kentucky,Memphis,1,1,1,1,1,1
1046,Miami Beach Bowl,12/19/2016,"Marlins Park - Miami, Florida",55,10,Tulsa,Central Michigan,1,1,1,1,1,1
1047,New Orleans Bowl,12/17/2016,"Mercedes-Benz Superdome - New Orleans, Louisiana",28,21,Southern Mississippi,Louisiana,1,1,1,1,1,1
1048,AutoNation Cure Bowl,12/17/2016,"Camping World Stadium - Orlando, Florida",31,13,Arkansas State,Central Florida,1,1,1,1,1,1
1049,Camellia Bowl,12/17/2016,"Montgomery, AL",31,28,Appalachian State,Toledo,1,1,1,1,1,1
1050,Las Vegas Bowl,12/17/2016,"Sam Boyd Stadium - Las Vegas, Nevada",34,10,San Diego State,Houston,1,1,1,1,1,1
1051,New Mexico Bowl,12/17/2016,"University Stadium - Albuquerque, New Mexico",23,20,New Mexico,Texas-San Antonio,1,1,1,1,1,1
1052,College Football Championship,1/8/2018,"Mercedes-Benz Stadium - Atlanta, Georgia",26,23,Alabama (4),Georgia (3),1,1,1,1,1,1
1053,Sugar Bowl,1/1/2018,"Mercedes-Benz Superdome - New Orleans, Louisiana",24,6,Alabama (4),Clemson (1),1,1,1,1,1,1
1054,Rose Bowl,1/1/2018,"Rose Bowl - Pasadena, California",54,48,Georgia (3),Oklahoma (2),1,1,1,1,1,1
1055,Citrus Bowl,1/1/2018,"Camping World Stadium - Orlando, Florida",21,17,Notre Dame (14),Louisiana State (16),1,1,1,1,1,1
1056,Peach Bowl,1/1/2018,"Mercedes-Benz Stadium - Atlanta, Georgia",34,27,Central Florida (10),Auburn (7),1,1,1,1,1,1
1057,Outback Bowl,1/1/2018,"Raymond James Stadium - Tampa, Florida",26,19,South Carolina,Michigan,1,1,1,1,1,1
1058,Orange Bowl,12/30/2017,"Hard Rock Stadium - Miami Gardens, Florida",34,24,Wisconsin (6),Miami (FL) (11),1,1,1,1,1,1
1059,Fiesta Bowl,12/30/2017,"University of Phoenix Stadium - Glendale, Arizona",35,28,Penn State (9),Washington (12),1,1,1,1,1,1
1060,Liberty Bowl,12/30/2017,"Liberty Bowl Memorial Stadium - Memphis, Tennessee",21,20,Iowa State,Memphis (19),1,1,1,1,1,1
1061,TaxSlayer Bowl,12/30/2017,"EverBank Field - Jacksonville, Florida",31,27,Mississippi State (24),Louisville,1,1,1,1,1,1
1062,Cotton Bowl,12/29/2017,"AT&T Stadium - Arlington, Texas",24,7,Ohio State (5),Southern California (8),1,1,1,1,1,1
1063,Arizona Bowl,12/29/2017,"Arizona Stadium - Tucson, Arizona",26,20,New Mexico State,Utah State,1,1,1,1,1,1
1064,Music City Bowl,12/29/2017,"Nissan Stadium - Nashville, Tennessee",24,23,Northwestern (20),Kentucky,1,1,1,1,1,1
1065,Sun Bowl,12/29/2017,"Sun Bowl - El Paso, Texas",52,31,North Carolina State,Arizona State,1,1,1,1,1,1
1066,Belk Bowl,12/29/2017,"Bank of America Stadium - Charlotte, North Carolina",55,52,Wake Forest,Texas A&M,1,1,1,1,1,1
1067,Alamo Bowl,12/28/2017,"Alamodome - San Antonio, Texas",39,37,Texas Christian (13),Stanford (15),1,1,1,1,1,1
1068,Holiday Bowl,12/28/2017,"SDCCU Stadium - San Diego, California",42,17,Michigan State (18),Washington State (21),1,1,1,1,1,1
1069,Camping World Bowl,12/28/2017,"Camping World Stadium - Orlando, Florida",30,21,Oklahoma State (17),Virginia Tech (22),1,1,1,1,1,1
1070,Military Bowl,12/28/2017,"Navy-Marine Corps Memorial Stadium - Annapolis, Maryland",49,7,Navy,Virginia,1,1,1,1,1,1
1071,Texas Bowl,12/27/2017,"NRG Stadium - Houston, Texas",33,16,Texas,Missouri,1,1,1,1,1,1
1072,Foster Farms Bowl,12/27/2017,"Levi's Stadium - Santa Clara, California",38,35,Purdue,Arizona,1,1,1,1,1,1
1073,Pinstripe Bowl,12/27/2017,"New Yankee Stadium - New York, New York",27,20,Iowa,Boston College,1,1,1,1,1,1
1074,Independence Bowl,12/27/2017,"Independence Stadium - Shreveport, Louisiana",42,13,Florida State,Southern Mississippi,1,1,1,1,1,1
1075,Cactus Bowl,12/26/2017,"Chase Field - Phoenix, Arizona",35,17,Kansas State,UCLA,1,1,1,1,1,1
1076,Quick Lane Bowl,12/26/2017,"Ford Field - Detroit, Michigan",36,14,Duke,Northern Illinois,1,1,1,1,1,1
1077,Heart of Dallas Bowl,12/26/2017,"Cotton Bowl - Dallas, Texas",30,14,Utah,West Virginia,1,1,1,1,1,1
1078,Hawaii Bowl,12/24/2017,"Aloha Stadium - Honolulu, Hawaii",33,27,Fresno State,Houston,1,1,1,1,1,1
1079,Dollar General Bowl,12/23/2017,"Ladd-Peebles Stadium - Mobile, Alabama",34,0,Appalachian State,Toledo,1,1,1,1,1,1
1080,Armed Forces Bowl,12/23/2017,"Amon G. Carter Stadium - Fort Worth, Texas",42,35,Army,San Diego State,1,1,1,1,1,1
1081,Birmingham Bowl,12/23/2017,"Legion Field - Birmingham, Alabama",38,34,South Florida (23),Texas Tech,1,1,1,1,1,1
1082,Famous Idaho Potato Bowl,12/22/2017,"Albertsons Stadium - Boise, Idaho",37,14,Wyoming,Central Michigan,1,1,1,1,1,1
1083,Bahamas Bowl,12/22/2017,"Thomas Robinson Stadium - Nassau, BHS",41,6,Ohio,Alabama-Birmingham,1,1,1,1,1,1
1084,Bad Boy Mowers Gasparilla Bowl,12/21/2017,"Tropicana Field - St. Petersburg, Florida",28,3,Temple,Florida International,1,1,1,1,1,1
1085,Frisco Bowl,12/20/2017,"Toyota Stadium - Frisco, Texas",51,10,Louisiana Tech,Southern Methodist,1,1,1,1,1,1
1086,Boca Raton Bowl,12/19/2017,"FAU Football Stadium - Boca Raton, Florida",50,3,Florida Atlantic,Akron,1,1,1,1,1,1
1087,Camellia Bowl,12/16/2017,"Cramton Bowl - Montgomery, Alabama",35,30,Middle Tennessee State,Arkansas State,1,1,1,1,1,1
1088,New Mexico Bowl,12/16/2017,"Dreamstyle Stadium - Albuquerque, New Mexico",31,28,Marshall,Colorado State,1,1,1,1,1,1
1089,Las Vegas Bowl,12/16/2017,"Sam Boyd Stadium - Las Vegas, Nevada",38,28,Boise State (25),Oregon,1,1,1,1,1,1
1090,AutoNation Cure Bowl,12/16/2017,"Camping World Stadium - Orlando, Florida",27,17,Georgia State,Western Kentucky,1,1,1,1,1,1
1091,New Orleans Bowl,12/16/2017,"Mercedes-Benz Superdome - New Orleans, Louisiana",50,30,Troy,North Texas,1,1,1,1,1,1
1092,College Football Championship,1/7/2019,"Levi's Stadium - Santa Clara, California",44,16,Clemson (2),Alabama (1),1,1,1,1,1,1
1093,Sugar Bowl,1/1/2019,"Mercedes-Benz Superdome - New Orleans, Louisiana",28,21,Texas (14),Georgia (6),1,1,1,1,1,1
1094,Rose Bowl,1/1/2019,"Rose Bowl - Pasadena, California",28,23,Ohio State (5),Washington (9),1,1,1,1,1,1
1095,Citrus Bowl,1/1/2019,"Camping World Stadium - Orlando, Florida",27,24,Kentucky (16),Penn State (13),1,1,1,1,1,1
1096,Fiesta Bowl,1/1/2019,"State Farm Stadium - Glendale, Arizona",40,32,Louisiana State (11),Central Florida (7),1,1,1,1,1,1
1097,Outback Bowl,1/1/2019,"Raymond James Stadium - Tampa, Florida",27,22,Iowa,Mississippi State (18),1,1,1,1,1,1
1098,Gator Bowl,12/31/2018,"TIAA Bank Field - Jacksonville, Florida",52,13,Texas A&M (21),North Carolina State,1,1,1,1,1,1
1099,Holiday Bowl,12/31/2018,"SDCCU Stadium - San Diego, California",31,20,Northwestern,Utah (20),1,1,1,1,1,1
1100,Liberty Bowl,12/31/2018,"Liberty Bowl Memorial Stadium - Memphis, Tennessee",38,33,Oklahoma State,Missouri (24),1,1,1,1,1,1
1101,Redbox Bowl,12/31/2018,"Levi's Stadium - Santa Clara, California",7,6,Oregon,Michigan State,1,1,1,1,1,1
1102,Sun Bowl,12/31/2018,"Sun Bowl - El Paso, Texas",14,13,Stanford,Pittsburgh,1,1,1,1,1,1
1103,Military Bowl,12/31/2018,"Navy-Marine Corps Memorial Stadium - Annapolis, Maryland",35,31,Cincinnati,Virginia Tech,1,1,1,1,1,1
1104,Orange Bowl,12/29/2018,"Hard Rock Stadium - Miami Gardens, Florida",45,34,Alabama (1),Oklahoma (4),1,1,1,1,1,1
1105,Cotton Bowl,12/29/2018,"AT&T Stadium - Arlington, Texas",30,3,Clemson (2),Notre Dame (3),1,1,1,1,1,1
1106,Arizona Bowl,12/29/2018,"Arizona Stadium - Tucson, Arizona",16,13,Nevada,Arkansas State,1,1,1,1,1,1
1107,Belk Bowl,12/29/2018,"Bank of America Stadium - Charlotte, North Carolina",28,0,Virginia,South Carolina,1,1,1,1,1,1
1108,Peach Bowl,12/29/2018,"Mercedes-Benz Stadium - Atlanta, Georgia",41,15,Florida (10),Michigan (8),1,1,1,1,1,1
1109,Alamo Bowl,12/28/2018,"Alamodome - San Antonio, Texas",28,26,Washington State (12),Iowa State (25),1,1,1,1,1,1
1110,Camping World Bowl,12/28/2018,"Camping World Stadium - Orlando, Florida",34,18,Syracuse (17),West Virginia (15),1,1,1,1,1,1
1111,Music City Bowl,12/28/2018,"Nissan Stadium - Nashville, Tennessee",63,14,Auburn,Purdue,1,1,1,1,1,1
1112,Texas Bowl,12/27/2018,"NRG Stadium - Houston, Texas",45,38,Baylor,Vanderbilt,1,1,1,1,1,1
1113,Pinstripe Bowl,12/27/2018,"Yankee Stadium - New York, New York",35,3,Wisconsin,Miami (FL),1,1,1,1,1,1
1114,Independence Bowl,12/27/2018,"Independence Stadium - Shreveport, Louisiana",56,27,Duke,Temple,1,1,1,1,1,1
1115,Cheez-It Bowl,12/26/2018,"Chase Field - Phoenix, Arizona",10,7,Texas Christian,California,1,1,1,1,1,1
1116,Quick Lane Bowl,12/26/2018,"Ford Field - Detroit, Michigan",34,10,Minnesota,Georgia Tech,1,1,1,1,1,1
1117,Hawaii Bowl,12/22/2018,"Aloha Stadium - Honolulu, Hawaii",31,14,Louisiana Tech,Hawaii,1,1,1,1,1,1
1118,Dollar General Bowl,12/22/2018,"Ladd-Peebles Stadium - Mobile, Alabama",42,32,Troy,Buffalo,1,1,1,1,1,1
1119,Armed Forces Bowl,12/22/2018,"Amon G. Carter Stadium - Fort Worth, Texas",70,14,Army (22),Houston,1,1,1,1,1,1
1120,Birmingham Bowl,12/22/2018,"Legion Field - Birmingham, Alabama",37,34,Wake Forest,Memphis,1,1,1,1,1,1
1121,Famous Idaho Potato Bowl,12/21/2018,"Albertsons Stadium - Boise, Idaho",49,18,Brigham Young,Western Michigan,1,1,1,1,1,1
1122,Bahamas Bowl,12/21/2018,"Thomas Robinson Stadium - Nassau, BHS",35,32,Florida International,Toledo,1,1,1,1,1,1
1123,Bad Boy Mowers Gasparilla Bowl,12/20/2018,"Raymond James Stadium - Tampa, Florida",38,20,Marshall,South Florida,1,1,1,1,1,1
1124,Frisco Bowl,12/19/2018,"Toyota Stadium - Frisco, Texas",27,0,Ohio,San Diego State,1,1,1,1,1,1
1125,Boca Raton Bowl,12/18/2018,"FAU Football Stadium - Boca Raton, Florida",37,13,Alabama-Birmingham,Northern Illinois,1,1,1,1,1,1
1126,New Orleans Bowl,12/15/2018,"Mercedes-Benz Superdome - New Orleans, Louisiana",45,13,Appalachian State,Middle Tennessee State,1,1,1,1,1,1
1127,Camellia Bowl,12/15/2018,"Cramton Bowl - Montgomery, Alabama",23,21,Georgia Southern,Eastern Michigan,1,1,1,1,1,1
1128,Las Vegas Bowl,12/15/2018,"Sam Boyd Stadium - Las Vegas, Nevada",31,20,Fresno State (19),Arizona State,1,1,1,1,1,1
1129,New Mexico Bowl,12/15/2018,"Dreamstyle Stadium - Albuquerque, New Mexico",52,13,Utah State,North Texas,1,1,1,1,1,1
1130,AutoNation Cure Bowl,12/15/2018,"Camping World Stadium - Orlando, Florida",41,24,Tulane,Louisiana,1,1,1,1,1,1
