index,Bowl,Date,Notes,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
538,Gallery Furniture Bowl,12/28/2001,"Houston, TX",28,9,Texas A&M,Texas Christian,1,1,1,1,1,1
539,Holiday Bowl,12/28/2001,"San Diego, CA",47,43,Texas (9),Washington (21),1,1,1,1,1,1
540,Music City Bowl,12/28/2001,"Nashville, TN",20,16,Boston College,Georgia (16),1,1,1,1,1,1
541,Independence Bowl,12/27/2001,"Shreveport, LA",14,13,Alabama,Iowa State,1,1,1,1,1,1
542,Seattle Bowl,12/27/2001,"Seattle, WA",24,14,Georgia Tech,Stanford (11),1,1,1,1,1,1
543,Las Vegas Bowl,12/25/2001,"Las Vegas, NV",10,6,Utah,Southern California,1,1,1,1,1,1
544,Tangerine Bowl II,12/20/2001,"Orlando, FL",34,19,Pittsburgh,North Carolina State,1,1,1,1,1,1
545,GMAC Bowl,12/19/2001,"Mobile, AL",64,61,Marshall,East Carolina,1,1,1,1,1,1
546,New Orleans Bowl,12/18/2001,"New Orleans, LA",45,20,Colorado State,North Texas,1,1,1,1,1,1
547,Fiesta Bowl,1/3/2003,"Tempe, AZ",31,24,Ohio State (2),Miami (FL) (1),1,1,1,1,1,1
548,Orange Bowl,1/2/2003,"Miami, FL",38,17,Southern California (5),Iowa (3),1,1,1,1,1,1
549,Capital One Bowl,1/1/2003,"Orlando, FL",13,9,Auburn (19),Penn State (10),1,1,1,1,1,1
550,Cotton Bowl,1/1/2003,"Dallas, TX",35,20,Texas (9),Louisiana State,1,1,1,1,1,1
551,Gator Bowl,1/1/2003,"Jacksonville, FL",28,6,North Carolina State (17),Notre Dame (11),1,1,1,1,1,1
552,Outback Bowl,1/1/2003,"Tampa, FL",38,30,Michigan (12),Florida (22),1,1,1,1,1,1
553,Rose Bowl,1/1/2003,"Pasadena, CA",34,14,Oklahoma (8),Washington State (7),1,1,1,1,1,1
554,Sugar Bowl,1/1/2003,"New Orleans, LA",26,13,Georgia (4),Florida State (16),1,1,1,1,1,1
555,Humanitarian Bowl,12/31/2002,"Boise, ID",34,16,Boise State (18),Iowa State,1,1,1,1,1,1
