Bowl,Date,Location,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
66,Liberty Bowl,12/16/1974,"Memphis, TN",7,3,Tennessee,Maryland (10),35.1495343,-90.0489801,35.9544013,-83.92945639999999,38.9869183,-76.9425543
67,Cotton Bowl,1/1/1976,"Dallas, TX",31,10,Arkansas (18),Georgia (12),32.7766642,-96.79698789999999,36.0686895,-94.1748471,33.9480053,-83.3773221
68,Orange Bowl,1/1/1976,"Miami, FL",14,6,Oklahoma (3),Michigan (5),25.7616798,-80.1917902,35.2058936,-97.4457137,42.2780436,-83.7382241
69,Rose Bowl,1/1/1976,"Pasadena, CA",23,10,UCLA (11),Ohio State (1),34.1477849,-118.1445155,34.068921,-118.4451811,40.0068363,-83.0306222
70,Peach Bowl,12/31/1975,"Atlanta, GA",13,10,West Virginia,North Carolina State,33.7489954,-84.3879824,39.6480359,-79.9697147,35.7846633,-78.6820946
71,Sugar Bowl,12/31/1975,"New Orleans, LA",13,6,Alabama (4),Penn State (8),29.95106579999999,-90.0715323,33.2140233,-87.5391418,40.7982133,-77.8599084
72,Gator Bowl,12/29/1975,"Jacksonville, FL",13,0,Maryland (17),Florida (13),30.3321838,-81.65565099999999,38.9869183,-76.9425543,29.6436325,-82.3549302
73,Bluebonnet Bowl,12/27/1975,"Houston, TX",38,21,Texas (9),Colorado (10),29.7604267,-95.3698028,30.2849185,-97.7340567,40.00758099999999,-105.2659417
74,Fiesta Bowl,12/26/1975,"Tempe, AZ",17,14,Arizona State (7),Nebraska (6),33.4255104,-111.9400054,32.2318851,-110.9501094,40.8201966,-96.70047629999999
75,Sun Bowl,12/26/1975,"El Paso, TX",33,19,Pittsburgh (20),Kansas (19),31.7618778,-106.4850217,40.4443533,-79.960835,38.9543439,-95.2557961
76,Liberty Bowl,12/22/1975,"Memphis, TN",20,0,Southern California,Texas A&M (2),35.1495343,-90.0489801,34.0223519,-118.285117,30.6187558,-96.33647719999999
77,Tangerine Bowl,12/20/1975,"Orlando, FL",20,7,Miami (OH) (16),South Carolina,28.5383355,-81.3792365,25.7178924,-80.2746368,33.9937575,-81.0299186
78,Sun Bowl,1/2/1977,"El Paso, TX",37,14,Texas A&M (10),Florida,31.7618778,-106.4850217,30.6187558,-96.33647719999999,29.6436325,-82.3549302
79,Cotton Bowl,1/1/1977,"Dallas, TX",30,21,Houston (6),Maryland (4),32.7766642,-96.79698789999999,29.7199489,-95.3422334,38.9869183,-76.9425543
80,Orange Bowl,1/1/1977,"Miami, FL",27,10,Ohio State (11),Colorado (12),25.7616798,-80.1917902,40.0068363,-83.0306222,40.00758099999999,-105.2659417
81,Rose Bowl,1/1/1977,"Pasadena, CA",14,6,Southern California (3),Michigan (2),34.1477849,-118.1445155,34.0223519,-118.285117,42.2780436,-83.7382241
82,Sugar Bowl,1/1/1977,"New Orleans, LA",27,3,Pittsburgh (1),Georgia (5),29.95106579999999,-90.0715323,40.4443533,-79.960835,33.9480053,-83.3773221
83,Bluebonnet Bowl,12/31/1976,"Houston, TX",27,24,Nebraska (13),Texas Tech (9),29.7604267,-95.3698028,40.8201966,-96.70047629999999,33.5842591,-101.8782822
84,Peach Bowl,12/31/1976,"Atlanta, GA",21,0,Kentucky,North Carolina (19),33.7489954,-84.3879824,38.0306511,-84.5039697,35.9049122,-79.0469134
85,Gator Bowl,12/27/1976,"Jacksonville, FL",20,9,Notre Dame (15),Penn State (20),30.3321838,-81.65565099999999,41.7055716,-86.2353388,40.7982133,-77.8599084
